name	5654_36656_0	5654_36656_1	5654_36656_2	5654_36656_3	5654_36656_4	5654_36656_5	5654_36656_6	5654_36656_7	5654_36656_8	5654_36656_9	5654_36656_10	5654_36656_11	5654_36656_12	5654_36656_13	5654_36656_14	5654_416304_15	5654_416304_16	5654_416304_17	5654_416304_18	5654_416304_19	5654_416304_20	5654_416304_21	5654_416304_22	5654_416304_23	5654_416304_24	5654_416304_25	5654_416304_26	5654_416304_27	5654_416304_28	5654_416304_29	5654_2369231_30	5654_2369231_31	5654_2369231_32	5654_2369231_33	5654_2369231_34	5654_2369231_35	5654_2369231_36	5654_2369231_37	5654_2369231_38	5654_2369231_39	5654_2369231_40	5654_2369231_41	5654_2369231_42	5654_2369231_43	5654_2369231_44	5654_8982779_45	5654_8982779_46	5654_8982779_47	5654_8982779_48	5654_8982779_49	5654_8982779_50	5654_8982779_51	5654_8982779_52	5654_8982779_53	5654_8982779_54	5654_8982779_55	5654_8982779_56	5654_8982779_57	5654_8982779_58	5654_8982779_59	5654_10488077_60	5654_10488077_61	5654_10488077_62	5654_10488077_63	5654_10488077_64	5654_10488077_65	5654_10488077_66	5654_10488077_67	5654_10488077_68	5654_10488077_69	5654_10488077_70	5654_10488077_71	5654_10488077_72	5654_10488077_73	5654_10488077_74
OTU_10sp_sp0	23162	18899	13864	10485	9984	10030	8989	10085	10057	11747	11024	12086	12103	11758	10314	11737	12189	10544	10774	10244	9132	10372	11518	12751	15296	12725	13705	14523	13032	10951	20363	14779	13076	13211	11441	10341	10967	10100	11147	14088	12685	11916	12475	12257	11525	10797	10641	8649	7345	7614	6566	6161	6530	6398	6476	6520	7200	8035	8642	9376	16053	13476	14887	11106	9153	9398	10435	11859	8870	10679	10284	11387	12724	12501	11019
OTU_10sp_sp1	0	0	0	0	0	0	0	0	0	1221	1731	2149	2662	3255	4668	0	0	0	0	0	0	0	1051	1194	1748	2250	2748	3442	4784	5727	0	0	0	0	1046	1379	1892	2075	2343	3027	4037	4993	6514	6535	6739	2233	3136	4397	4740	4783	5598	6449	7293	7356	6922	6759	7129	5871	5772	5136	0	0	0	1082	1803	2081	2537	4468	5309	5069	5293	5006	5144	5965	5945
OTU_10sp_sp2	2064	4202	6383	6858	7575	7741	7845	6788	6272	5775	5360	5833	6468	7794	7348	4675	5580	5258	5400	5859	5925	5171	4488	4736	5156	5956	5922	8182	8865	8228	8091	8850	9521	8544	8233	7807	6918	5762	5635	5532	6828	7872	8421	7317	8008	8527	8590	7712	7620	6677	6334	6517	6663	7133	7906	6298	6011	6533	6953	6835	6534	6531	7320	7383	6476	6687	6921	6936	7792	6564	5832	5610	6418	6428	7862
OTU_10sp_sp3	14575	18399	19568	21622	19644	19796	18504	20418	19960	18679	17174	16401	15637	15702	15207	22913	26530	24871	22351	21754	22137	20477	19271	16995	16846	14760	12819	15074	13393	14762	11885	14211	16781	18963	20640	18623	17335	17233	15765	12616	11201	12837	11625	10849	10416	20510	21337	21578	21742	22606	21736	22678	21749	20235	16836	17529	18917	17015	17232	14422	17552	18152	21192	21685	19362	19185	19760	16958	18228	16623	16906	15245	14348	15198	16004
OTU_10sp_sp4	10558	8414	7856	8000	8168	7188	5803	5503	6104	6226	7031	7255	7634	7972	8872	4256	3886	3713	4458	4971	5558	6166	7447	7991	9044	10132	9382	10072	8341	7695	11935	10338	8233	6212	6303	5772	5631	7999	8454	9972	9818	11079	10052	10445	11104	6403	5978	4197	3303	3235	3496	3132	3745	3860	5569	6992	6536	7862	8462	8264	8224	7102	6515	5890	5453	7217	6271	7231	6865	7269	8140	7632	5951	6699	6623
OTU_10sp_sp5	13040	10475	8482	6914	7313	7463	6915	5699	5555	5574	6466	6995	7231	7471	6610	5615	3733	3196	2870	3252	3185	3477	4333	5696	6523	7962	8873	8781	7995	7457	12826	12708	10052	7740	6410	6268	6088	6826	7372	8565	9696	9097	9759	9974	10067	6860	4949	4137	3477	3708	3351	3148	2786	2710	2934	3762	4258	5291	6512	7142	8627	7673	6829	6149	6517	5280	5589	5085	5663	5351	6295	7402	7282	7753	6722
OTU_10sp_sp6	13456	15043	13758	12670	12385	12808	12518	10957	10358	12162	10951	11864	10231	10776	11561	13082	11666	12329	13154	11118	12869	10805	11380	12085	9861	10974	11514	9253	12135	10849	11895	12373	13218	12948	12325	11113	10587	11773	11713	11040	10441	10794	10140	9806	10993	11440	12148	13007	11549	11272	14540	10284	11792	9973	11491	10687	11323	10815	10648	9959	14318	12670	11830	13269	13603	9582	9813	11813	10507	10206	11831	10473	10231	9628	12888
OTU_10sp_sp7	13876	14840	17252	17496	16861	15250	15678	14294	13266	10935	12679	12365	13310	11135	11582	19641	17464	16605	14970	15074	14315	12522	12228	13484	12645	12132	13081	10401	11188	11674	13259	13999	14035	14223	13381	14620	13937	11341	11416	10203	11522	9696	10088	11351	9753	16735	15756	14849	16673	16627	14238	14559	13088	14754	14228	14478	13067	13377	11103	13659	14944	16876	13273	14968	14954	14722	12761	10705	12212	13250	12569	12477	13289	11694	10274
OTU_10sp_sp8	9266	8335	10542	12934	13401	12562	14193	14734	13712	12108	12510	11778	11772	11265	10438	14478	13421	14855	15186	14395	13844	14384	13175	12055	10720	11916	11293	9640	10043	11296	7930	10035	10770	11918	11416	12331	13116	11726	10530	10296	10329	9760	10891	9886	10068	12494	11605	14152	14665	14014	13744	14524	12724	13513	13225	14905	13050	12274	11825	13289	10191	12270	10530	9627	11771	14179	13549	10940	11413	12354	11843	12778	12792	11950	10995
OTU_10sp_sp9	0	1387	2291	3017	4664	7158	9550	11518	14712	15569	15069	13271	12947	12866	13396	3600	5526	8626	10834	13328	13031	16621	15104	13008	12156	11188	10658	10629	10221	11356	1811	2702	4310	6236	8799	11740	13525	15160	15621	14658	13438	11951	10031	11575	11321	3996	5855	7316	8879	9458	10392	12544	13624	14062	14410	12063	12504	12923	12846	11913	3554	5244	7620	8836	10903	11664	12359	14001	13138	12631	11001	11986	11816	12179	11662
